Scheme Name,Scheme Type,Scheme Subtype,No. of Schemes,No. of Folios,Funds Mobilized (INR in crore),Repurchase/Redemption (INR in crore),Net Assets Under Management (INR in crore),Average Net Assets Under Management (INR in crore),No. of segregated portfolios created,Net Assets Under Management in segregated portfolio (INR in crores),Net Inflow or Outflow,Net Asset under Management per Scheme,Net Inflow or Outflow per Scheme,month and year
Flexi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,37,13161385,5304.88,3951.37,290269.65,291155.59,0,0,1353.5100000000002,7845.125675675677,36.58135135135136,September 2023
Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),,,409,106973583,42155.36,28064.1,1908087.63,1908362.02,0,0,14091.260000000002,4665.250929095354,34.452958435207826,September 2023
Hybrid Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2023
Conservative Hybrid Fund,Open ended Schemes,Hybrid Schemes,20,531595,502.83,420.56,25401.24,25373.14,1,0,82.26999999999998,1270.0620000000001,4.113499999999999,September 2023
Balanced Hybrid Fund/Aggressive Hybrid Fund,Open ended Schemes,Hybrid Schemes,31,5330143,2604.52,2250.48,175013.99,175519.49,2,9.33,354.03999999999996,5645.612580645161,11.420645161290322,September 2023
Dynamic Asset Allocation/Balanced Advantage Fund,Open ended Schemes,Hybrid Schemes,29,4341033,4220.56,3726.96,214075.74,214199.56,0,0,493.60000000000036,7381.922068965517,17.020689655172426,September 2023
Multi Asset Allocation Fund,Open ended Schemes,Hybrid Schemes,16,1415518,6775.21,451.03,42018.03,39780.82,0,0,6324.18,2626.126875,395.26125,September 2023
Arbitrage Fund,Open ended Schemes,Hybrid Schemes,27,451213,20691.09,10515.53,109361.28,120238.45,0,0,10175.56,4050.4177777777777,376.8725925925926,September 2023
Equity Savings Fund,Open ended Schemes,Hybrid Schemes,22,375920,2014.5,793.7,21912.4,21727.88,2,25.81,1220.8,996.0181818181819,55.49090909090909,September 2023
Sub Total - III (i+ii+iii+iv+v+vi),,,145,12445422,36808.71,18158.26,587782.68,596839.35,5,35.14,18650.45,4053.6736551724143,128.6237931034483,September 2023
Solution Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2023
