Scheme Name,Scheme Type,Scheme Subtype,No. of Schemes,No. of Folios,Funds Mobilized (INR in crore),Repurchase/Redemption (INR in crore),Net Assets Under Management (INR in crore),Average Net Assets Under Management (INR in crore),No. of segregated portfolios created,Net Assets Under Management in segregated portfolio (INR in crores),Net Inflow or Outflow,Net Asset under Management per Scheme,Net Inflow or Outflow per Scheme,month and year
Other Equity Schemes,Close Ended Schemes,Growth/Equity Oriented Schemes,18,132558,0,22.91,4937.3,5124.21,0,0,-22.91,274.2944444444445,-1.2727777777777778,February 2022
Sub Total (i+ii),,,38,448554,0,60.41,8601.88,8911.79,0,0,-60.41,226.3652631578947,-1.5897368421052631,February 2022
Other Schemes,Close Ended Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,February 2022
Total B -Close ended Schemes,,,349,668022,202.76,60.47,60542.2,60658.9,0,0,142.29,173.47335243553007,0.40770773638968477,February 2022
Interval Schemes,,,0,0,0,0,0,0,0,0,0,0,0,February 2022
Income/Debt Oriented Schemes,Interval Schemes,Income/Debt Oriented Schemes,21,3081,103.97,6.97,596.37,567.64,0,0,97.0,28.39857142857143,4.619047619047619,February 2022
Growth/Equity Oriented Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,February 2022
Other Schemes,Interval Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,February 2022
Total C Interval Schemes,,,21,3081,103.97,6.97,596.37,567.64,0,0,97.0,28.39857142857143,4.619047619047619,February 2022
Grand Total,,,1479,126129549,765767.47,734233.94,3756295.96,3856139.72,16,638.47,31533.530000000028,2539.7538607167003,21.320845165652486,February 2022
Fund of Funds Scheme (Domestic) **,,,70,1717085,2116.03,792.82,46166.26,45916.73,0,0,1323.21,659.518,18.903000000000002,February 2022
Open ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,January 2022
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,January 2022
Overnight Fund,Open ended Schemes,Income/Debt Oriented Schemes,31,510759,385699.36,366341.81,114032.31,111949.04,0,0,19357.54999999999,3678.4616129032256,624.4370967741932,January 2022
Liquid Fund,Open ended Schemes,Income/Debt Oriented Schemes,38,1802028,240703.19,255101.1,347955.35,389150.4,0,0,-14397.910000000003,9156.719736842104,-378.8923684210527,January 2022
Ultra Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,27,629207,16366.6,13397.23,91471.79,92095.0,0,0,2969.370000000001,3387.844074074074,109.9766666666667,January 2022
Low Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,23,1091088,19691.46,21654.94,125955.56,129829.33,3,15.12,-1963.4799999999996,5476.328695652174,-85.3686956521739,January 2022
Money Market Fund,Open ended Schemes,Income/Debt Oriented Schemes,20,427920,27384.41,22665.81,119521.25,120054.7,0,0,4718.5999999999985,5976.0625,235.92999999999992,January 2022
Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,26,594922,4531.5,7420.13,136221.97,138446.05,1,12.13,-2888.63,5239.306538461538,-111.10115384615385,January 2022
Medium Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,288806,244.09,991.98,34696.99,35000.72,5,321.08,-747.89,2168.561875,-46.743125,January 2022
Medium to Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,13,117657,544.69,572.03,13966.23,14105.67,1,0,-27.339999999999918,1074.3253846153846,-2.103076923076917,January 2022
Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,2,25061,34.61,31.32,2556.11,2571.77,0,0,3.289999999999999,1278.055,1.6449999999999996,January 2022
Dynamic Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,26,240279,264.15,742.04,27802.01,28128.37,2,122.32,-477.89,1069.308076923077,-18.380384615384614,January 2022
Corporate Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,679222,4710.34,5646.07,151204.32,150972.5,0,0,-935.7299999999996,7200.205714285715,-44.558571428571405,January 2022
Credit Risk Fund,Open ended Schemes,Income/Debt Oriented Schemes,15,275874,369.12,566.33,28281.35,28414.38,6,162.08,-197.21000000000004,1885.4233333333332,-13.147333333333336,January 2022
Banking and PSU Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,342606,4081.33,6618.54,104416.82,105285.8,0,0,-2537.21,4746.219090909091,-115.32772727272727,January 2022
Gilt Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,182627,663.4,995.4,16114.74,16400.0,0,0,-332.0,767.3685714285714,-15.80952380952381,January 2022
Gilt Fund with 10 year constant duration,Open ended Schemes,Income/Debt Oriented Schemes,4,46480,27.26,74.7,1349.79,1377.91,0,0,-47.44,337.4475,-11.86,January 2022
Floater Fund,Open ended Schemes,Income/Debt Oriented Schemes,12,274724,10804.32,8212.78,97798.27,98448.12,0,0,2591.539999999999,8149.855833333334,215.9616666666666,January 2022
Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),,,317,7529260,716119.83,711032.22,1413344.85,1462229.76,18,632.73,5087.609999999986,4458.501104100947,16.049242902208157,January 2022
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,January 2022
Multi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,14,2567227,1395.65,504.22,44515.64,43974.07,0,0,891.4300000000001,3179.6885714285713,63.673571428571435,January 2022
Large Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,32,12156461,4515.43,2625.19,222736.62,226357.78,0,0,1890.2400000000002,6960.519375,59.07000000000001,January 2022
Large & Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,6393977,2877.3,1154.65,106993.67,107420.05,0,0,1722.65,3962.7285185185183,63.80185185185186,January 2022
Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,8356221,3527.96,1757.94,158940.86,160754.78,0,0,1770.02,5886.698518518518,65.5562962962963,January 2022
Small Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,24,7364508,3163.62,1665.15,106373.64,107827.47,0,0,1498.4699999999998,4432.235,62.436249999999994,January 2022
Dividend Yield Fund,Open ended Schemes,Growth/Equity Oriented Schemes,8,556184,172.13,111.98,9593.08,9728.23,0,0,60.14999999999999,1199.135,7.518749999999999,January 2022
Value Fund/Contra Fund,Open ended Schemes,Growth/Equity Oriented Schemes,22,3957921,1218.83,1382.24,78514.39,79036.62,0,0,-163.41000000000008,3568.835909090909,-7.427727272727276,January 2022
Focused Fund,Open ended Schemes,Growth/Equity Oriented Schemes,26,4845840,2909.19,1095.76,94529.79,96392.27,0,0,1813.43,3635.761153846154,69.7473076923077,January 2022
Sectoral/Thematic Funds,Open ended Schemes,Growth/Equity Oriented Schemes,116,11437336,5758.88,3685.97,146129.47,147828.61,0,0,2072.9100000000003,1259.7368103448275,17.86991379310345,January 2022
ELSS,Open ended Schemes,Growth/Equity Oriented Schemes,40,13348560,2290.62,1485.89,146927.66,150683.1,0,0,804.7299999999998,3673.1915,20.118249999999996,January 2022
Flexi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,29,11291488,5404.61,2877.46,222709.69,226103.48,0,0,2527.1499999999996,7679.644482758621,87.14310344827585,January 2022
Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),,,365,82275723,33234.21,18346.45,1337964.51,1356106.47,0,0,14887.759999999998,3665.656191780822,40.78838356164383,January 2022
Hybrid Schemes,,,0,0,0,0,0,0,0,0,0,0,0,January 2022
Conservative Hybrid Fund,Open ended Schemes,Hybrid Schemes,21,496665,1276.58,470.92,20781.47,20399.36,2,0,805.6599999999999,989.5938095238096,38.3647619047619,January 2022
Balanced Hybrid Fund/Aggressive Hybrid Fund,Open ended Schemes,Hybrid Schemes,33,5008192,3383.56,1843.76,146836.02,147809.61,2,9.33,1539.8,4449.576363636364,46.66060606060606,January 2022
Dynamic Asset Allocation/Balanced Advantage Fund,Open ended Schemes,Hybrid Schemes,26,4118163,5153.83,2390.88,173958.68,174985.91,0,0,2762.95,6690.718461538461,106.26730769230768,January 2022
Multi Asset Allocation Fund,Open ended Schemes,Hybrid Schemes,10,777800,499.65,304.8,19276.13,20032.19,0,0,194.84999999999997,1927.613,19.484999999999996,January 2022
Arbitrage Fund,Open ended Schemes,Hybrid Schemes,25,508149,7092.62,6137.64,101757.62,115463.75,0,0,954.9799999999996,4070.3048,38.19919999999998,January 2022
Equity Savings Fund,Open ended Schemes,Hybrid Schemes,22,345178,955.31,983.76,16242.69,17002.58,2,25.81,-28.450000000000045,738.304090909091,-1.2931818181818202,January 2022
Sub Total - III (i+ii+iii+iv+v+vi),,,137,11254147,18361.55,12131.76,478852.6,495693.4,6,35.14,6229.789999999999,3495.274452554744,45.47291970802919,January 2022
Solution Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,January 2022
Retirement Fund,Open ended Schemes,Solution Oriented Schemes,25,2673825,213.3,113.9,16415.7,16626.09,0,0,99.4,656.628,3.9760000000000004,January 2022
Childrens Fund,Open ended Schemes,Solution Oriented Schemes,10,2888864,103.54,45.01,13156.61,13270.8,0,0,58.53000000000001,1315.661,5.853000000000001,January 2022
Sub Total - IV (i+ii),,,35,5562689,316.84,158.91,29572.32,29896.89,0,0,157.92999999999998,844.9234285714285,4.512285714285714,January 2022
Other Schemes,,,0,0,0,0,0,0,0,0,0,0,0,January 2022
Index Funds,Open ended Schemes,Other Schemes,68,2216086,5984.18,1069.75,49906.11,47510.56,0,0,4914.43,733.9133823529412,72.27102941176472,January 2022
GOLD ETF,Open ended Schemes,Other Schemes,11,3464739,166.02,617.71,17839.89,18183.61,0,0,-451.69000000000005,1621.8081818181818,-41.06272727272728,January 2022
Other ETFs,Open ended Schemes,Other Schemes,117,8939164,12821.26,8812.23,390349.75,393879.83,0,0,4009.0300000000007,3336.3226495726494,34.26521367521368,January 2022
Fund of funds investing overseas,Open ended Schemes,Other Schemes,41,1182926,804.28,415.07,22127.6,22698.78,0,0,389.21,539.6975609756097,9.492926829268292,January 2022
Sub Total - V (i+ii+iii+iv),,,237,15802915,19775.74,10914.77,480223.35,482272.78,0,0,8860.970000000001,2026.2588607594935,37.38805907172996,January 2022
Total A-Open ended Schemes,,,1091,122424734,787808.16,752584.09,3739957.62,3826199.3,24,667.87,35224.070000000065,3428.0088175985334,32.286040329972565,January 2022
Close Ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,January 2022
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,January 2022
Fixed Term Plan,Close Ended Schemes,Income/Debt Oriented Schemes,288,187638,227.1,0,47925.31,47744.74,0,0,227.1,166.4073263888889,0.7885416666666667,January 2022
Capital Protection Oriented Schemes,Close Ended Schemes,Income/Debt Oriented Schemes,13,30733,0,0,1614.3,1617.38,0,0,0,124.17692307692307,0.0,January 2022
Infrastructure Debt Fund,Close Ended Schemes,Income/Debt Oriented Schemes,8,80,0,0,1940.94,1935.22,0,0,0,242.6175,0.0,January 2022
Other Debt Scheme,Close Ended Schemes,Income/Debt Oriented Schemes,1,717,0,0,60.76,61.06,0,0,0,60.76,0.0,January 2022
Sub Total (i+ii+iii+iv),,,310,219168,227.1,0,51541.31,51358.39,0,0,227.1,166.26229032258064,0.7325806451612903,January 2022
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,January 2022
ELSS,Close Ended Schemes,Growth/Equity Oriented Schemes,20,317426,0,36.43,3855.45,3952.68,0,0,-36.43,192.77249999999998,-1.8215,January 2022
Other Equity Schemes,Close Ended Schemes,Growth/Equity Oriented Schemes,19,137246,0,298.99,5384.77,6578.28,0,0,-298.99,283.4089473684211,-15.736315789473684,January 2022
Sub Total (i+ii),,,39,454672,0,335.41,9240.22,10530.96,0,0,-335.41,236.92871794871795,-8.60025641025641,January 2022
Other Schemes,Close Ended Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,January 2022
Total B -Close ended Schemes,,,349,673840,227.1,335.41,60781.52,61889.35,0,0,-108.31000000000003,174.15908309455585,-0.3103438395415474,January 2022
Interval Schemes,,,0,0,0,0,0,0,0,0,0,0,0,January 2022
Income/Debt Oriented Schemes,Interval Schemes,Income/Debt Oriented Schemes,21,3099,136.53,0.61,470.48,482.13,0,0,135.92,22.403809523809525,6.472380952380952,January 2022
Growth/Equity Oriented Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,January 2022
Other Schemes,Interval Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,January 2022
Total C Interval Schemes,,,21,3099,136.53,0.61,470.48,482.13,0,0,135.92,22.403809523809525,6.472380952380952,January 2022
Grand Total,,,1461,123101673,788171.79,752920.12,3801209.63,3888570.79,24,667.87,35251.67000000004,2601.786194387406,24.128453114305298,January 2022
Fund of Funds Scheme (Domestic) **,,,66,1647213,2501.79,676.64,44836.59,44331.59,0,0,1825.15,679.3422727272726,27.65378787878788,January 2022
Open ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,December 2021
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,December 2021
Overnight Fund,Open ended Schemes,Income/Debt Oriented Schemes,30,307669,453336.11,448605.13,94138.69,110033.81,0,0,4730.979999999981,3137.9563333333335,157.6993333333327,December 2021
Liquid Fund,Open ended Schemes,Income/Debt Oriented Schemes,38,2008348,297331.83,306016.83,361368.52,364938.09,0,0,-8685.0,9509.697894736842,-228.55263157894737,December 2021
Ultra Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,27,634934,17892.33,26206.97,88197.72,93776.42,0,0,-8314.64,3266.5822222222223,-307.9496296296296,December 2021
Low Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,23,1107690,12169.77,23216.73,127483.98,131558.92,2,14.93,-11046.96,5542.781739130434,-480.3026086956521,December 2021
Money Market Fund,Open ended Schemes,Income/Debt Oriented Schemes,20,432609,26743.67,33772.24,114413.94,117975.78,0,0,-7028.57,5720.697,-351.4285,December 2021
Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,26,608859,8310.72,10343.16,138922.13,140576.3,1,11.97,-2032.4400000000005,5343.158846153847,-78.17076923076925,December 2021
Medium Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,294246,625.41,1185.36,35389.95,35636.67,6,328.55,-559.9499999999999,2211.871875,-34.996874999999996,December 2021
Medium to Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,13,119032,740.04,805.77,14050.05,14049.7,1,16.71,-65.73000000000002,1080.7730769230768,-5.0561538461538476,December 2021
Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,2,25400,14.44,22.0,2591.56,2610.24,0,0,-7.5600000000000005,1295.78,-3.7800000000000002,December 2021
Dynamic Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,26,244904,1630.89,591.64,28328.08,27967.62,2,129.11,1039.25,1089.5415384615385,39.97115384615385,December 2021
Corporate Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,692249,3734.49,8040.09,151915.81,154251.54,0,0,-4305.6,7234.0861904761905,-205.02857142857144,December 2021
Credit Risk Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,279738,410.72,457.93,28365.22,28384.7,8,233.27,-47.20999999999998,1772.82625,-2.9506249999999987,December 2021
Banking and PSU Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,349368,1375.49,7592.62,106915.11,110885.77,0,0,-6217.13,4859.777727272727,-282.5968181818182,December 2021
Gilt Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,186979,384.15,421.88,16488.19,16588.79,0,0,-37.73000000000002,785.1519047619047,-1.7966666666666675,December 2021
Gilt Fund with 10 year constant duration,Open ended Schemes,Income/Debt Oriented Schemes,4,47962,55.59,54.66,1409.1,1406.14,0,0,0.9300000000000068,352.275,0.2325000000000017,December 2021
Floater Fund,Open ended Schemes,Income/Debt Oriented Schemes,12,281881,5553.54,12013.73,94865.99,98242.28,0,0,-6460.19,7905.499166666667,-538.3491666666666,December 2021
Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),,,317,7621868,830309.21,879346.72,1404844.02,1448882.79,20,734.54,-49037.51000000001,4431.684605678233,-154.69246056782336,December 2021
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,December 2021
Multi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,14,2442973,10926.7,350.19,42860.0,38068.35,0,0,10576.51,3061.4285714285716,755.465,December 2021
Large Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,32,11978081,4385.36,2857.53,221834.82,218002.67,0,0,1527.8299999999995,6932.338125,47.74468749999998,December 2021
Large & Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,6105449,2718.23,1071.9,104376.32,102238.56,0,0,1646.33,3865.78962962963,60.97518518518518,December 2021
Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,8165660,3413.38,1734.13,158135.64,155442.8,0,0,1679.25,5856.875555555556,62.19444444444444,December 2021
Small Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,24,7035809,2800.33,1776.04,105880.34,102632.53,0,0,1024.29,4411.680833333333,42.67875,December 2021
Dividend Yield Fund,Open ended Schemes,Growth/Equity Oriented Schemes,8,552391,158.47,117.67,9659.98,9478.22,0,0,40.8,1207.4975,5.1,December 2021
Value Fund/Contra Fund,Open ended Schemes,Growth/Equity Oriented Schemes,22,3934965,1131.03,801.14,77274.13,76018.43,0,0,329.89,3512.460454545455,14.995,December 2021
Focused Fund,Open ended Schemes,Growth/Equity Oriented Schemes,26,4738365,2659.67,1147.44,95285.14,94760.23,0,0,1512.23,3664.813076923077,58.16269230769231,December 2021
Sectoral/Thematic Funds,Open ended Schemes,Growth/Equity Oriented Schemes,117,11023820,7573.25,3803.49,146657.68,143842.91,0,0,3769.76,1253.4844444444443,32.220170940170945,December 2021
ELSS,Open ended Schemes,Growth/Equity Oriented Schemes,41,13244120,1893.33,1326.29,149336.16,147576.53,0,0,567.04,3642.3453658536587,13.830243902439024,December 2021
Flexi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,28,10985374,5145.26,2736.62,222318.67,218322.51,0,0,2408.6400000000003,7939.9525,86.02285714285715,December 2021
Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),,,366,80207007,42805.0,17722.45,1333618.89,1306383.74,0,0,25082.55,3643.7674590163933,68.53155737704918,December 2021
Hybrid Schemes,,,0,0,0,0,0,0,0,0,0,0,0,December 2021
Conservative Hybrid Fund,Open ended Schemes,Hybrid Schemes,21,491232,730.96,426.14,19977.85,19437.34,2,46.18,304.82000000000005,951.3261904761904,14.515238095238098,December 2021
Balanced Hybrid Fund/Aggressive Hybrid Fund,Open ended Schemes,Hybrid Schemes,33,4958969,2547.75,2042.39,145170.69,143947.13,2,9.33,505.3599999999999,4399.111818181818,15.31393939393939,December 2021
Dynamic Asset Allocation/Balanced Advantage Fund,Open ended Schemes,Hybrid Schemes,26,4052345,6074.7,2369.06,169739.59,169340.53,0,0,3705.64,6528.445769230769,142.52461538461537,December 2021
Multi Asset Allocation Fund,Open ended Schemes,Hybrid Schemes,10,768343,471.0,353.47,18586.45,19351.94,0,0,117.52999999999997,1858.645,11.752999999999997,December 2021
Arbitrage Fund,Open ended Schemes,Hybrid Schemes,25,508695,7096.21,11398.17,100777.38,115928.81,0,0,-4301.96,4031.0952,-172.0784,December 2021
Equity Savings Fund,Open ended Schemes,Hybrid Schemes,22,338872,968.85,736.85,16188.27,16764.98,2,25.81,232.0,735.8304545454546,10.545454545454545,December 2021
Sub Total - III (i+ii+iii+iv+v+vi),,,137,11118456,17889.48,17326.09,470440.23,484770.73,6,81.32,563.3899999999994,3433.870291970803,4.112335766423353,December 2021
Solution Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,December 2021
Retirement Fund,Open ended Schemes,Solution Oriented Schemes,25,2666506,207.49,111.07,16444.2,16278.56,0,0,96.42000000000002,657.768,3.8568000000000007,December 2021
Childrens Fund,Open ended Schemes,Solution Oriented Schemes,10,2885806,103.58,49.25,13090.88,12985.81,0,0,54.33,1309.088,5.433,December 2021
Sub Total - IV (i+ii),,,35,5552312,311.07,160.32,29535.08,29264.37,0,0,150.75,843.8594285714286,4.307142857142857,December 2021
Other Schemes,,,0,0,0,0,0,0,0,0,0,0,0,December 2021
Index Funds,Open ended Schemes,Other Schemes,62,2053599,5288.97,773.39,45429.96,42879.31,0,0,4515.58,732.7412903225807,72.83193548387096,December 2021
GOLD ETF,Open ended Schemes,Other Schemes,11,3209311,489.98,176.63,18405.31,18115.34,0,0,313.35,1673.21,28.486363636363638,December 2021
Other ETFs,Open ended Schemes,Other Schemes,111,8554194,16334.17,2783.41,384214.16,375358.25,0,0,13550.76,3461.3888288288285,122.07891891891892,December 2021
Fund of funds investing overseas,Open ended Schemes,Other Schemes,41,1178048,823.81,497.79,24129.75,23994.19,0,0,326.0199999999999,588.530487804878,7.9517073170731685,December 2021
Sub Total - V (i+ii+iii+iv),,,225,14995152,22936.93,4231.22,472179.19,460347.09,0,0,18705.71,2098.574177777778,83.13648888888889,December 2021
Total A-Open ended Schemes,,,1080,119494795,914251.69,918786.81,3710617.41,3729648.72,26,815.86,-4535.120000000112,3435.7568611111114,-4.199185185185288,December 2021
Close Ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,December 2021
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,December 2021
Fixed Term Plan,Close Ended Schemes,Income/Debt Oriented Schemes,286,186553,449.67,269.3,47484.86,47732.94,0,0,180.37,166.03097902097903,0.6306643356643357,December 2021
Capital Protection Oriented Schemes,Close Ended Schemes,Income/Debt Oriented Schemes,13,30733,0,0,1611.54,1608.2,0,0,0,123.96461538461539,0.0,December 2021
Infrastructure Debt Fund,Close Ended Schemes,Income/Debt Oriented Schemes,8,80,0,0,1927.31,1913.69,0,0,0,240.91375,0.0,December 2021
Other Debt Scheme,Close Ended Schemes,Income/Debt Oriented Schemes,1,718,0,0,60.89,60.74,0,0,0,60.89,0.0,December 2021
Sub Total (i+ii+iii+iv),,,308,218084,449.67,269.3,51084.61,51315.57,0,0,180.37,165.8591233766234,0.5856168831168831,December 2021
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,December 2021
ELSS,Close Ended Schemes,Growth/Equity Oriented Schemes,20,319113,0,33.04,3921.54,3873.46,0,0,-33.04,196.077,-1.652,December 2021
Other Equity Schemes,Close Ended Schemes,Growth/Equity Oriented Schemes,22,171471,0,54.1,6742.64,6657.88,0,0,-54.1,306.4836363636364,-2.459090909090909,December 2021
Sub Total (i+ii),,,42,490584,0,87.14,10664.18,10531.34,0,0,-87.14,253.9090476190476,-2.0747619047619046,December 2021
Other Schemes,Close Ended Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,December 2021
Total B -Close ended Schemes,,,350,708668,449.67,356.44,61748.79,61846.91,0,0,93.23000000000002,176.4251142857143,0.26637142857142865,December 2021
Interval Schemes,,,0,0,0,0,0,0,0,0,0,0,0,December 2021
Income/Debt Oriented Schemes,Interval Schemes,Income/Debt Oriented Schemes,21,3113,231.56,1.45,330.12,315.29,0,0,230.11,15.72,10.957619047619048,December 2021
Growth/Equity Oriented Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,December 2021
Other Schemes,Interval Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,December 2021
Total C Interval Schemes,,,21,3113,231.56,1.45,330.12,315.29,0,0,230.11,15.72,10.957619047619048,December 2021
Grand Total,,,1451,120206576,914932.91,919144.69,3772696.31,3791810.92,26,815.86,-4211.7799999999115,2600.0663749138525,-2.9026740179186157,December 2021
Fund of Funds Scheme (Domestic) **,,,64,1596388,1978.03,675.75,43614.17,42900.29,0,0,1302.28,681.47140625,20.348125,December 2021
Open ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,November 2021
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,November 2021
Overnight Fund,Open ended Schemes,Income/Debt Oriented Schemes,30,302779,379809.55,391933.01,89093.71,115724.67,0,0,-12123.460000000021,2969.7903333333334,-404.11533333333404,November 2021
Liquid Fund,Open ended Schemes,Income/Debt Oriented Schemes,39,1942065,277564.82,224313.54,369014.99,368710.82,0,0,53251.28,9461.92282051282,1365.4174358974358,November 2021
Ultra Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,28,642763,16634.28,21204.98,96333.3,98622.56,0,0,-4570.700000000001,3440.475,-163.23928571428573,November 2021
Low Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,24,1125302,15025.78,21699.98,138356.25,141711.03,2,14.64,-6674.199999999999,5764.84375,-278.09166666666664,November 2021
Money Market Fund,Open ended Schemes,Income/Debt Oriented Schemes,20,437205,24928.71,25423.13,121079.43,120303.28,0,0,-494.4200000000019,6053.9715,-24.721000000000096,November 2021
Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,27,620008,7139.11,6653.28,141278.17,140233.86,1,11.74,485.8299999999999,5232.524814814816,17.9937037037037,November 2021
Medium Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,297730,1211.18,1739.72,35919.55,36316.73,6,328.44,-528.54,2244.971875,-33.03375,November 2021
Medium to Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,13,120097,1054.88,153.92,14141.05,13678.61,1,16.56,900.9600000000002,1087.7730769230768,69.3046153846154,November 2021
Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,2,25703,23.26,18.69,2618.95,2598.74,0,0,4.57,1309.475,2.285,November 2021
Dynamic Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,26,247463,858.58,1620.45,27318.33,27980.91,2,129.05,-761.87,1050.7050000000002,-29.302692307692308,November 2021
Corporate Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,20,697848,3454.93,8048.36,156155.08,158221.64,0,0,-4593.43,7807.753999999999,-229.6715,November 2021
Credit Risk Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,281760,637.04,385.86,28356.03,28108.76,8,232.65,251.17999999999995,1772.251875,15.698749999999997,November 2021
Banking and PSU Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,355192,1493.84,5687.17,113169.43,115356.52,0,0,-4193.33,5144.065,-190.60590909090908,November 2021
Gilt Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,189553,639.45,1504.82,16576.97,16931.26,0,0,-865.3699999999999,789.3795238095239,-41.20809523809523,November 2021
Gilt Fund with 10 year constant duration,Open ended Schemes,Income/Debt Oriented Schemes,4,48748,62.27,88.5,1415.0,1411.52,0,0,-26.229999999999997,353.75,-6.557499999999999,November 2021
